id,last_name,first_name,address,phone,money
46356595,Yakovlev,Beth,93300 Dexter Way,211-576-9663,5328.84
42972643,Stowe,Andris,812 Coolidge Crossing,933-770-3147,5162.27
51479332,Forrestall,Joachim,88 Texas Plaza,892-502-9081,4880.01
44215649,Piggens,Letitia,83521 Dawn Alley,879-678-7664,7551.58
43280229,Melchior,Myrta,87 Hanover Way,818-764-3870,1088.24
82468249,Hannen,Leland,21 Pine View Place,962-662-9571,4494.46
82147060,Arderne,Sander,7 Holy Cross Avenue,390-430-7298,3272.43
70544318,Almack,Sianna,5511 Lukken Parkway,200-621-6997,6214.86
96034661,Braga,Sallie,5194 Mcbride Road,416-160-4472,6318.69
91840470,Mathou,Idelle,933 Burrows Alley,446-627-8517,4222.18
18934890,Keasy,Brita,50518 Sutteridge Crossing,107-679-3833,1953.65
43580170,McElrath,Ryon,566 Kings Place,747-434-1764,7858.93
82566441,Jorissen,Cazzie,3 Spohn Hill,370-500-9755,7413.53
19602883,Bachs,Kean,8553 Di Loreto Avenue,347-359-4079,512.59
47649341,Barney,Brennan,2372 Longview Way,417-449-5478,1987.22
